ID;status;About
4317500;contratado;"Atuo como QA Trainee, adquirindo mais e mais conhecimento técnico dia após dia, sempre encarando novos desafios na intenção de desenvolver as minhas habilidades e me tornar uma Analista de Qualidade. 

Determinação, curiosidade e a imensa vontade de aprender me movem para trilhar uma caminhada de sucesso, assim como a alegria em cada novo aprendizado me faz ter a certeza de que fiz a escolha certa quando decidi vir para área da TI.

Inicie minha vida profissional em 2014 e na maior parte das empresas em que ingressei atuei no contato direto com o público. Sempre tive proximidade com a área jurídica por atuar em escritórios de advocacia, sendo assim, iniciei o bacharelado em Direito e cursei até o terceiro semestre. 

Entretanto em 2021 a área da TI/QA me despertou um enorme interesse e me mostrou diversas possibilidades, então iniciei o curso de ADS e dei início a minha transição de carreira."
3800253;contratado;"Especialização em:
?	Pacote Office em programação VBA (Access, Excel, Word, PowerPoint).
?	Ferramentas RPA (WDG, Automation AnyWhere, Macro Schendule, Automate, UiPath, AutoIt, AutoHotKey, WinAutomation e C#) 

Cursos Realizados:
?	Automation AnyWhere
?	UiPath
?	Oracle PlSql (DDL, DML, DQL, DTL, DCL)

Atividade Realizadas:
Atuando no levantamento das necessidades dos clientes, para automação dos processos casa haja necessidade ou confiabilidade para construção RPA. 
Realizando os levantamento solução e documentação técnica para desenvolvimento do RPA (Robô) para a fábrica de Software. Participando diretamente no desenvolvimento, testes, homologação e implementação do RPA, garantindo assim as melhores práticas e uniformidade em todos os RPA desenvolvidos.
Utilizando metodologia ágil (Scrum), acompanhando em tempo real cada etapa do processo do RPA com as reuniões Daily com os envolvidos e reportando diariamente aos superiores. "
4478472;contratado;"Meu perfil no github: https://github.com/sparremberger

Olá! Meu nome é Álan Sparremberger. Programador e amante da tecnologia desde o primeiro contato, transformo ideias em código e tento deixar o mundo um pouco melhor do que o encontrei. Atualmente cursando tecnólogo em Análise e Desenvolvimento de Sistemas no terceiro semestre."
4319910;contratado;"Desenvolvedora de Software Fullstack.

Sou apaixonada por desafios e sempre me entrego ao que me proponho a fazer. Foco, atenção aos detalhes, organização e visão sistêmica são os pilares no meu desenvolvimento profissional. Com as experiências profissionais que tive ao longo dos anos pude desenvolver, além de outras competências, uma boa comunicação verbal e escrita.

Amo resolver problemas, ajudar colegas e amigos, viajar, CrossFit e comer - não necessariamente nessa ordem."
3366230;contratado;"Desenvolvedor Node.js.

Desde os 10 anos de idade apaixonado por tecnologia, quando minha vida era só joguinhos no computador. Hoje, sou entusiasta das melhores tecnologias de desenvolvimento Web.

""Ninguém é tão iniciante que não possa ensinar nada, e ninguém é tão Senior que não precise aprender mais nada""

Bora codar ??"
4126077;contratado;"Ambiente Microsoft (Windows XP, Windows 7, Windows 8, Office,2003,2007, 2010 e Outlook 2003,2007, 2010).
Criação de Usuários, Grupos e Listas de Distribuição no Active Directory,;
Sistema de E-mail (Outlook / Exchange);
Redes IP (DHCP, DNS, Protocolo IP, etc);
Conhecimentos de Hardware equipamento Dell, Montagem de Estações de Trabalho; 
Conhecimento e configuração de Smartphones (Iphone, Android, Windows Phone, Black Berry e Tablets com IOS, Android e Windows 8);
Conhecimento de ITIL e suas práticas.
Sistemas e Aplicativos de Internet.
Configuração de Wi-Fi para dispositivos móveis;
Auxílio e Suporte via acesso Remoto com as ferramentas: (Team Viewer, UltraVNC, Conexão de Área de trabalho remota, SSH).
Conhecimento em sistemas operacionais Linux ( Fedora, Red hat e Ubuntu)
Sistema de monitoramento de Hosts ( Centreon, Nagios, Ninsoft e Zabbix)"
4325084;contratado;"Estou em transição de carreira,  com o objetivo de atuar como Analista de Qualidade.
Em janeiro de 2022 iniciei o curso de Formação de Profissionais de Qualidade, na Qa.Coders. 
Neste momento, estou participando como Voluntária no módulo Academy, onde faço parte de uma Squad, atendendo a um cliente real.  Esta experiência tem sido fundamental para o desenvolvimento de hard skills essenciais para a minha carreira: 
- Documentação, modelagem e execução de testes manuais e exploratórios, envio de relatórios e reporte de bugs.
- Organização de processos;
- Projetos Ágeis com SCRUM, ferramentas de gerenciamento Jira e Azure DevOps;
- Testes de API com  Postman.

Sou uma profissional focada em resultados, proativa, ética, e com bastante interesse em colaborar com o time, em espírito de empatia e sempre priorizando a qualidade na entrega ao cliente."
3911252;contratado;"Sou uma entusiasta que ama estudar e gosta de se envolver intensamente com o que se propõe a aprender.
Tenho a honra de ser mais uma mulher na área da TI e quero incentivar outras mulheres a se descobrirem na Tecnologia. 

=)

Sou graduanda do curso de Sistemas para Internet na Unisinos. 

Atualmente estou atuando no Back-end com Java, tenho conhecimento sobre Testes automatizados com Selenium WebDriver, Banco de dados, estou brilhando os olhos para Kotlin e desenvolvimento mobile.
Cada vez me encanto mais com a área da TI!

Conhecimento nas tecnologias:
Java
Spring Boot
JWT
Hibernate
JPA
Selenium WebDriver
MongoDB
SQL
Postgres
MySQL"
4234311;contratado;"Um apaixonado em tecnologia...

- MBA Engenharia de Software - Escola Politécnica da UFRJ (2022)
- MBA em Gestão Estratégica da Tecnologia da Informação - Universidade Cândido Mendes(2018). 
- Graduado em Sistemas de Informação - Faculdade Metodista Granbery (2015)"
3703293;contratado;Atualmente atuo como QA Júnior na NTconsult.
